VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8D1-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.52
C1-CCI_8D1-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),95.0
C1-CCI_8D1-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),9.039999999999997
C1-CCI_8D1-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),25.64
C1-CCI_8D1-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),36.0
C1-CCI_8D1-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),2.84
C1-CCI_8D1-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),66.68
C1-CCI_8D1-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),6.0
C1-CCI_8D1-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.48
C1-N_8A1-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.16
C1-N_8A1-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),49.0
C1-N_8A1-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),6.0
C1-N_8A1-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),10.24
C1-N_8A1-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),139.0
C1-N_8A1-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),11.760000000000002
C1-N_8A1-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),14.92
C1-N_8A1-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),79.0
C1-N_8A1-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),6.880000000000001
C1-N_8A1-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),98.36
C1-N_8A1-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),6.0
C1-N_8A1-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.28
C1-N_8A1-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),21.2
C1-N_8A1-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),36.0
