VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),5.426331939471717
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),5.04
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.22994285714285712
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),175.0
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),178.66955946337512
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),40.239999999999995
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),5.385702200315919
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),10.44
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.20918032786885246
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),61.0
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),47.067041863647916
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),12.76
C1-CCI_8C3-0,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8C3-0,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
C1-CCI_8C3-0,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),
C1-CCI_8C3-0,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),0.0
C1-CCI_8C3-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8C3-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),1.9166119506067374
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.8
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.33333333333333326
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),45.0
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),23.07636545038858
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),14.999999999999996
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),4.039920422968733
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),5.32
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.2748387096774194
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),31.0
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),21.46569250498366
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),8.520000000000001
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),0.8754124281094076
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),12.28
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.213109243697479
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),119.0
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),23.920350364768453
C1-CCI_8C3-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),25.36
C1-CCI_8C3-5,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8C3-5,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
C1-CCI_8C3-5,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),
C1-CCI_8C3-5,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),0.0
C1-CCI_8C3-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8C3-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),2.5737461073525507
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),19.0
